"type of registration";"type of fuel";"month";"Private cars";"Buses";"Vans and motorhomes";"Lorries"
"New vehicles";"Electric/zero-emission";"1995M01";0;0;0;0
"New vehicles";"Electric/zero-emission";"1995M02";0;0;0;0
"New vehicles";"Electric/zero-emission";"1995M03";0;0;0;0
"New vehicles";"Electric/zero-emission";"1995M04";0;0;0;0
"New vehicles";"Electric/zero-emission";"1995M05";0;0;0;0
"New vehicles";"Electric/zero-emission";"1995M06";0;0;0;0
"New vehicles";"Electric/zero-emission";"1995M07";5;0;0;0
"New vehicles";"Electric/zero-emission";"1995M08";1;0;0;0
"New vehicles";"Electric/zero-emission";"1995M09";0;0;0;0
"New vehicles";"Electric/zero-emission";"1995M10";1;0;0;0
"New vehicles";"Electric/zero-emission";"1995M11";0;0;0;0
"New vehicles";"Electric/zero-emission";"1995M12";0;0;0;0
"New vehicles";"Electric/zero-emission";"1996M01";1;0;0;0
"New vehicles";"Electric/zero-emission";"1996M02";0;0;0;0
"New vehicles";"Electric/zero-emission";"1996M03";11;0;0;0
"New vehicles";"Electric/zero-emission";"1996M04";2;0;0;0
"New vehicles";"Electric/zero-emission";"1996M05";10;0;0;0
"New vehicles";"Electric/zero-emission";"1996M06";0;0;0;0
"New vehicles";"Electric/zero-emission";"1996M07";0;0;0;0
"New vehicles";"Electric/zero-emission";"1996M08";0;0;0;0
"New vehicles";"Electric/zero-emission";"1996M09";0;0;0;0
"New vehicles";"Electric/zero-emission";"1996M10";15;0;0;0
"New vehicles";"Electric/zero-emission";"1996M11";8;0;0;0
"New vehicles";"Electric/zero-emission";"1996M12";1;0;0;0
"New vehicles";"Electric/zero-emission";"1997M01";1;0;1;0
"New vehicles";"Electric/zero-emission";"1997M02";1;0;0;0
"New vehicles";"Electric/zero-emission";"1997M03";0;0;0;0
"New vehicles";"Electric/zero-emission";"1997M04";1;0;0;0
"New vehicles";"Electric/zero-emission";"1997M05";2;0;0;0
"New vehicles";"Electric/zero-emission";"1997M06";3;0;0;0
"New vehicles";"Electric/zero-emission";"1997M07";4;0;0;0
"New vehicles";"Electric/zero-emission";"1997M08";0;0;0;0
"New vehicles";"Electric/zero-emission";"1997M09";0;0;0;0
"New vehicles";"Electric/zero-emission";"1997M10";2;0;0;0
